Customer ID,Address,City,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date
1,Address_1,Fort Worth,1,10/6/2023,Suggestion,Resolved,1/22/2023
2,Address_2,Louisville,2,4/7/2023,Complaint,Resolved,8/27/2023
3,Address_3,Philadelphia,3,9/7/2023,Praise,Pending,5/11/2023
4,Address_4,Oklahoma City,4,5/28/2023,Complaint,Resolved,7/5/2023
5,Address_5,Phoenix,5,2/12/2023,Complaint,Resolved,11/21/2023
6,Address_6,El Paso,6,8/6/2023,Praise,Resolved,7/23/2023
7,Address_7,Dallas,7,8/20/2023,Complaint,Pending,7/31/2023
8,Address_8,Memphis,8,8/30/2023,Complaint,Pending,12/19/2023
9,Address_9,Indianapolis,9,2/10/2023,Suggestion,Pending,7/12/2023
10,Address_10,Washington,10,10/20/2023,Complaint,Resolved,4/30/2023
11,Address_11,San Diego,11,5/1/2023,Complaint,Pending,9/19/2023
12,Address_12,Oklahoma City,12,8/24/2023,Complaint,Pending,5/3/2023
13,Address_13,Columbus,13,2/22/2023,Praise,Resolved,1/13/2023
14,Address_14,Colorado Springs,14,11/16/2023,Praise,Resolved,5/5/2023
15,Address_15,Atlanta,15,10/26/2023,Suggestion,Pending,9/23/2023
16,Address_16,Fresno,16,11/25/2023,Complaint,Pending,5/23/2023
17,Address_17,Austin,17,5/31/2023,Suggestion,Pending,5/1/2023
18,Address_18,Omaha,18,2/23/2023,Praise,Resolved,6/3/2023
19,Address_19,Tucson,19,7/19/2023,Praise,Resolved,3/7/2023
20,Address_20,Milwaukee,20,4/22/2023,Praise,Pending,10/4/2023
21,Address_21,Fresno,21,11/20/2023,Complaint,Pending,9/7/2023
22,Address_22,San Antonio,22,8/7/2023,Complaint,Pending,12/10/2023
23,Address_23,El Paso,23,2/20/2023,Complaint,Resolved,10/4/2023
24,Address_24,San Antonio,24,10/4/2023,Suggestion,Resolved,12/10/2023
25,Address_25,Boston,25,1/22/2023,Praise,Resolved,3/1/2023
26,Address_26,Chicago,26,2/17/2023,Complaint,Pending,4/14/2023
27,Address_27,Kansas City,27,12/15/2023,Suggestion,Pending,8/20/2023
28,Address_28,Oklahoma City,28,12/21/2023,Complaint,Pending,2/23/2023
29,Address_29,Fresno,29,1/23/2023,Suggestion,Pending,6/10/2023
30,Address_30,Baltimore,30,1/6/2023,Suggestion,Resolved,9/12/2023
31,Address_31,San Francisco,31,5/12/2023,Praise,Pending,6/5/2023
32,Address_32,Jacksonville,32,8/16/2023,Praise,Resolved,8/25/2023
33,Address_33,Sacramento,33,5/9/2023,Complaint,Resolved,7/25/2023
34,Address_34,Oklahoma City,34,7/22/2023,Complaint,Resolved,2/11/2023
35,Address_35,Seattle,35,6/26/2023,Praise,Resolved,1/29/2023
36,Address_36,Portland,36,1/17/2023,Complaint,Pending,11/14/2023
37,Address_37,Mesa,37,10/31/2023,Suggestion,Resolved,1/3/2023
38,Address_38,El Paso,38,2/26/2023,Praise,Resolved,6/3/2023
39,Address_39,Albuquerque,39,11/28/2023,Praise,Resolved,1/24/2023
40,Address_40,Jacksonville,40,4/29/2023,Praise,Resolved,1/14/2023
41,Address_41,Austin,41,5/30/2023,Complaint,Pending,3/16/2023
42,Address_42,Kansas City,42,5/24/2023,Complaint,Pending,3/9/2023
43,Address_43,Philadelphia,43,5/26/2023,Praise,Resolved,11/19/2023
44,Address_44,Fresno,44,11/14/2023,Complaint,Resolved,8/18/2023
45,Address_45,Mesa,45,12/28/2023,Praise,Resolved,7/6/2023
46,Address_46,Atlanta,46,4/12/2023,Praise,Pending,8/31/2023
47,Address_47,San Francisco,47,8/21/2023,Suggestion,Resolved,1/1/2023
48,Address_48,Omaha,48,12/29/2023,Suggestion,Resolved,7/25/2023
49,Address_49,Omaha,49,2/2/2023,Suggestion,Resolved,3/18/2023
50,Address_50,Fort Worth,50,10/4/2023,Praise,Resolved,2/4/2023
51,Address_51,Nashville,51,9/30/2023,Suggestion,Resolved,12/11/2023
52,Address_52,Omaha,52,6/15/2023,Complaint,Pending,6/22/2023
53,Address_53,Denver,53,4/14/2023,Praise,Pending,12/7/2023
54,Address_54,Chicago,54,11/17/2023,Praise,Resolved,2/6/2023
55,Address_55,Seattle,55,3/31/2023,Praise,Pending,10/10/2023
56,Address_56,Denver,56,3/3/2023,Praise,Resolved,10/4/2023
57,Address_57,Philadelphia,57,11/12/2023,Suggestion,Pending,2/27/2023
58,Address_58,Indianapolis,58,4/21/2023,Suggestion,Pending,12/4/2023
59,Address_59,San Diego,59,3/4/2023,Praise,Resolved,5/5/2023
60,Address_60,Seattle,60,4/8/2023,Praise,Resolved,12/16/2023
61,Address_61,Colorado Springs,61,10/11/2023,Praise,Resolved,1/2/2023
62,Address_62,Fort Worth,62,5/16/2023,Praise,Resolved,8/31/2023
63,Address_63,Jacksonville,63,12/25/2023,Praise,Pending,8/15/2023
64,Address_64,San Antonio,64,7/21/2023,Suggestion,Pending,1/30/2023
65,Address_65,New York,65,7/30/2023,Praise,Pending,12/3/2023
66,Address_66,Mesa,66,7/9/2023,Complaint,Resolved,2/21/2023
67,Address_67,Nashville,67,1/10/2023,Praise,Pending,4/25/2023
68,Address_68,Atlanta,68,2/21/2023,Praise,Resolved,9/9/2023
69,Address_69,Las Vegas,69,2/9/2023,Suggestion,Resolved,5/21/2023
70,Address_70,Boston,70,11/26/2023,Complaint,Resolved,12/19/2023
71,Address_71,San Antonio,71,3/2/2023,Suggestion,Resolved,5/23/2023
72,Address_72,San Francisco,72,11/7/2023,Complaint,Resolved,9/6/2023
73,Address_73,Memphis,73,9/1/2023,Complaint,Resolved,5/3/2023
74,Address_74,Baltimore,74,4/23/2023,Praise,Pending,7/22/2023
